RowNum,TimeStamp,AmpHoursDCBus,BackEMFMotorImag,BackEMFMotorReal,CarGear,CurrentBattery,CurrentBus,CurrentMotorImag,CurrentMotorReal,CurrentPhaseA,CurrentPhaseB,CurrentRequested,EnableRegen,FanDrivePercent,FanDriveRPM,Odometer,PotAccel,PotRegen,TempAirInlet,TempAirOutlet,TempAvg,TempCapacitor,TemperatureCell01,TemperatureCell02,TemperatureCell03,TemperatureCell04,TempHeatsink,TempMax,TempMin,TempMotor,TempProcessor,VelocityMotor,VelocityVehicle,VoltageAvg,VoltageBattery,VoltageBus,VoltageCell01,VoltageCell02,VoltageCell03,VoltageCell04,VoltageCell05,VoltageCell06,VoltageCell07,VoltageCell08,VoltageCell09,VoltageCell10,VoltageCell11,VoltageCell12,VoltageCell13,VoltageCell14,VoltageCell15,VoltageCell16,VoltageCell17,VoltageCell18,VoltageCell19,VoltageCell20,VoltageCell21,VoltageCell22,VoltageCell23,VoltageCell24,VoltageCell25,VoltageCell26,VoltageCell27,VoltageCell28,VoltageCell29,VoltageCell30,VoltageCell31,VoltageCell32,VoltageFifteenVSupply,VoltageMax,VoltageMin,VoltageMotorImag,VoltageMotorReal,VoltageOnePtSixtyFiveVRef,VoltageOnePtTwoVSupply,VoltageTwoPtFiveVSupply
1,2015-05-02 12:13:51.450000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2015-05-02 12:13:56.430000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2015-05-02 12:14:01.430000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015-05-02 12:14:06.443000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015-05-02 12:14:11.430000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2015-05-02 12:14:16.450000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2015-05-02 12:14:21.460000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2015-05-02 12:14:26.467000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2015-05-02 12:14:31.473000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2015-05-02 12:14:36.483000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
