RowNum,TimeStamp,Sent,AmpHoursDCBus,BackEMFMotorImag,BackEMFMotorReal,CarGear,CurrentBattery,CurrentBus,CurrentMotorImag,CurrentMotorReal,CurrentPhaseA,CurrentPhaseB,CurrentRequested,EnableRegen,FanDrivePercent,FanDriveRPM,Odometer,PotAccel,PotRegen,TempAirInlet,TempAirOutlet,TempAvg,TempCapacitor,TemperatureCell01,TemperatureCell02,TemperatureCell03,TemperatureCell04,TempHeatsink,TempMax,TempMin,TempMotor,TempProcessor,VelocityMotor,VelocityVehicle,VoltageAvg,VoltageBattery,VoltageBus,VoltageCell01,VoltageCell02,VoltageCell03,VoltageCell04,VoltageCell05,VoltageCell06,VoltageCell07,VoltageCell08,VoltageCell09,VoltageCell10,VoltageCell11,VoltageCell12,VoltageCell13,VoltageCell14,VoltageCell15,VoltageCell16,VoltageCell17,VoltageCell18,VoltageCell19,VoltageCell20,VoltageCell21,VoltageCell22,VoltageCell23,VoltageCell24,VoltageCell25,VoltageCell26,VoltageCell27,VoltageCell28,VoltageCell29,VoltageCell30,VoltageCell31,VoltageCell32,VoltageFifteenVSupply,VoltageMax,VoltageMin,VoltageMotorImag,VoltageMotorReal,VoltageOnePtSixtyFiveVRef,VoltageOnePtTwoVSupply,VoltageTwoPtFiveVSupply
1,2015-10-08 19:28:20.740000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2015-10-08 19:28:25.700000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2015-10-08 19:28:30.740000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015-10-08 19:28:35.730000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015-10-08 19:28:40.740000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2015-10-08 19:28:45.747000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2015-10-08 19:28:50.753000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2015-10-08 19:29:06.760000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2015-10-08 19:29:11.753000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2015-10-08 19:29:16.760000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2015-10-08 19:29:21.767000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2015-10-08 19:29:26.777000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2015-10-08 19:29:31.783000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2015-10-08 19:29:36.790000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2015-10-08 19:29:41.800000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2015-10-08 19:29:46.807000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2015-10-08 19:29:51.843000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2015-10-08 19:29:56.820000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2015-10-08 19:30:01.830000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2015-10-08 19:30:06.837000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2015-10-08 19:30:11.843000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2015-10-08 19:30:16.867000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2015-10-08 19:30:21.853000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
